Date,Player1,Player2,Player1 HP,Player2 HP,Player1 Damage,Player2 Damage,Result,Points,Classed
19/11/2014 20:58:52,PeDkOcHa9ICyKa,NoNameNoFace,5494.180776000001,0.0,9519,6327,PeDkOcHa9ICyKa won,3,no
19/11/2014 21:04:53,OneLove,PeDkOcHa9ICyKa,3113.6334719999986,0.0,10234,10647,OneLove won,4,no
19/11/2014 21:10:35,PeDkOcHa9ICyKa,OneLove,0.0,2790.7261439999997,7309,11290,OneLove won,3,no
19/11/2014 21:19:34,OneLove,YpuBaTeJIb,0.0,2984.782640016395,8114,4649,YpuBaTeJIb won,1,no
19/11/2014 21:24:55,YpuBaTeJIb,OneLove,3811.3312000178835,0.0,10151,5330,YpuBaTeJIb won,1,no
19/11/2014 21:30:06,OneLove,YpuBaTeJIb,0.0,4215.903040007455,10568,5409,YpuBaTeJIb won,2,no
19/11/2014 21:34:47,OneLove,YpuBaTeJIb,0.0,4799.06670400149,7389,6635,YpuBaTeJIb won,2,no
19/11/2014 21:40:10,trump,YpuBaTeJIb,0.0,6734.452576005959,3416,6068,YpuBaTeJIb won,2,no
19/11/2014 21:45:56,PeDkOcHa9ICyKa,YpuBaTeJIb,0.0,0.0,0,0,PeDkOcHa9ICyKa default,4,no
19/11/2014 21:45:56,PeDkOcHa9ICyKa,YpuBaTeJIb,0.0,0.0,0,0,YpuBaTeJIb default,5,no
19/11/2014 23:32:43,YpuBaTeJIb,OneLove,2744.4396320089404,0.0,5631,8339,YpuBaTeJIb won,2,no
19/11/2014 23:37:04,YpuBaTeJIb,OneLove,3571.88105600745,0.0,5999,8253,YpuBaTeJIb won,2,no
19/11/2014 23:42:56,OneLove,Cheater,0.0,2527.2940160595967,22360,4440,Cheater won,4,no
19/11/2014 23:48:07,Cheater,YpuBaTeJIb,0.0,7297.5784480029815,1825,6168,YpuBaTeJIb won,3,no
20/11/2014 7:43:25,trump,,2.68504831E8,101.0,9,15,noble-charId-classId-compdone-points,0,
20/11/2014 7:43:25,OneLove,,2.68558276E8,104.0,38,31,noble-charId-classId-compdone-points,0,
20/11/2014 7:43:25,NoNameNoFace,,2.68742264E8,88.0,15,38,noble-charId-classId-compdone-points,0,
20/11/2014 7:43:25,Vampir,,2.68507863E8,115.0,15,12,noble-charId-classId-compdone-points,0,
20/11/2014 7:43:25,Centrone,,2.68581493E8,90.0,10,15,noble-charId-classId-compdone-points,0,
20/11/2014 7:43:25,6i6a,,2.68514619E8,109.0,9,14,noble-charId-classId-compdone-points,0,
20/11/2014 7:43:25,Wally,,2.68593576E8,118.0,8,18,noble-charId-classId-compdone-points,0,
20/11/2014 7:43:25,Cheater,,2.68569781E8,105.0,5,22,noble-charId-classId-compdone-points,0,
20/11/2014 7:43:25,Loveless,,2.68585522E8,103.0,8,14,noble-charId-classId-compdone-points,0,
20/11/2014 7:43:25,PeDkOcHa9ICyKa,,2.68687311E8,88.0,7,10,noble-charId-classId-compdone-points,0,
20/11/2014 7:43:25,Hapuk,,2.68622704E8,95.0,1,16,noble-charId-classId-compdone-points,0,
20/11/2014 7:43:25,Loo,,2.68555181E8,110.0,2,13,noble-charId-classId-compdone-points,0,
20/11/2014 7:43:25,PartyHard,,2.68682964E8,94.0,3,10,noble-charId-classId-compdone-points,0,
20/11/2014 7:43:25,YpuBaTeJIb,,2.68605206E8,98.0,14,18,noble-charId-classId-compdone-points,0,
20/11/2014 7:43:25,OMgKPEATUB,,2.68565111E8,103.0,0,18,noble-charId-classId-compdone-points,0,
20/11/2014 7:43:25,NoNameNoFace,,2.68742264E8,88.0,0,0,awarded hero,0,
20/11/2014 7:43:25,Centrone,,2.68581493E8,90.0,0,0,awarded hero,0,
20/11/2014 7:43:25,YpuBaTeJIb,,2.68605206E8,98.0,0,0,awarded hero,0,
20/11/2014 7:43:25,trump,,2.68504831E8,101.0,0,0,awarded hero,0,
20/11/2014 7:43:25,OneLove,,2.68558276E8,104.0,0,0,awarded hero,0,
20/11/2014 7:43:25,6i6a,,2.68514619E8,109.0,0,0,awarded hero,0,
20/11/2014 7:43:25,Vampir,,2.68507863E8,115.0,0,0,awarded hero,0,
21/11/2014 23:35:10,NoNameNoFace,Cheater,9915.81051203576,0.0,9347,499,NoNameNoFace won,3,no
21/11/2014 23:38:41,NoNameNoFace,Cheater,10127.761279999999,0.0,10289,0,NoNameNoFace won,3,no
21/11/2014 23:43:16,Cheater,IIy3aTbIu,4420.123312014899,0.0,10177,0,Cheater won,2,no
21/11/2014 23:46:58,NoNameNoFace,Cheater,9426.33746400596,0.0,18157,587,NoNameNoFace won,2,no
21/11/2014 23:49:17,PlushBunny,DOMBAI,0.0,0.0,0,0,PlushBunny default,6,no
21/11/2014 23:49:17,PlushBunny,DOMBAI,0.0,0.0,0,0,DOMBAI default,6,no
21/11/2014 23:50:40,IIy3aTbIu,Cheater,0.0,3313.1133760089415,1491,8878,Cheater won,2,no
21/11/2014 23:52:18,NoNameNoFace,PlushBunny,8101.649064035762,0.0,13516,1930,NoNameNoFace won,2,no
22/11/2014 18:36:24,Cheater,OneLove,3241.67008000298,0.0,10029,10254,Cheater won,2,no
22/11/2014 18:41:16,NoNameNoFace,YpuBaTeJIb,9094.59788,0.0,24412,1985,NoNameNoFace won,3,no
22/11/2014 18:45:44,OneLove,NoNameNoFace,0.0,2945.5235597973424,6110,19026,NoNameNoFace won,3,no
22/11/2014 18:50:02,Cheater,YpuBaTeJIb,5556.0,6252.0,0,0,draw,3,no
